OUTPUT:

Vasicek optimized parameters: a = 0.0018759731562042567, b = 2.5811470673215773, sigma = 0.056765551548106426
CIR optimized parameters: a = 0.0018759731562042418, b = 2.581146487427231, sigma = 0.05676555154810597

      Date  Actual_IR  Predicted_IR_Vasicek  Predicted_IR_CIR  Vasicek_volatility  CIR_volatility
2022-07-11       2.99              1.141087          1.661914            1.848913        1.328086
2022-07-12       2.96              1.116665          1.689532            1.843335        1.270468
2022-07-13       2.91              1.159027          1.625716            1.750973        1.284284
2022-07-14       2.96              1.155096          1.695104            1.804904        1.264896
2022-07-15       2.93              1.228355          1.727466            1.701645        1.202534
2022-07-18       2.96              1.162915          1.698973            1.797085        1.261027
2022-07-19       3.01              1.241086          1.763722            1.768914        1.246278
2022-07-20       3.04              1.188673          1.835431            1.851327        1.204569
2022-07-21       2.91              1.209166          1.821633            1.700834        1.088367
2022-07-22       2.77              1.234989          1.823446            1.535011        0.946554
2022-07-25       2.81              1.308555          1.734009            1.501445        1.075991
2022-07-26       2.81              1.261042          1.780869            1.548958        1.029131
2022-07-27       2.78              1.217035          1.739420            1.562965        1.040580
2022-07-28       2.68              1.189639          1.823024            1.490361        0.856976
2022-07-29       2.67              1.149047          1.853946            1.520953        0.816054
2022-08-01       2.60              1.208196          1.957169            1.391804        0.642831
2022-08-02       2.75              1.194896          2.005381            1.555104        0.744619
2022-08-03       2.73              1.264300          1.884463            1.465700        0.845537
2022-08-04       2.68              1.101148          1.866244            1.578852        0.813756
2022-08-05       2.83              1.144263          1.834317            1.685737        0.995683
2022-08-08       2.77              1.021273          1.841243            1.748727        0.928757
2022-08-09       2.80              0.946225          1.890752            1.853775        0.909248
2022-08-10       2.78              0.948357          1.877556            1.831643        0.902444
2022-08-11       2.87              0.911887          1.936870            1.958113        0.933130
2022-08-12       2.84              0.876660          1.838127            1.963340        1.001873
2022-08-15       2.79              0.940760          1.753501            1.849240        1.036499
2022-08-16       2.82              0.872046          1.853070            1.947954        0.966930
2022-08-17       2.89              0.881715          1.840915            2.008285        1.049085
2022-08-18       2.88              0.935659          1.833693            1.944341        1.046307
2022-08-19       2.98              0.977220          1.775217            2.002780        1.204783
2022-08-22       3.03              0.921524          1.766275            2.108476        1.263725
2022-08-23       3.05              0.962033          1.789305            2.087967        1.260695
2022-08-24       3.11              0.861812          1.705389            2.248188        1.404611
2022-08-25       3.03              0.917867          1.648742            2.112133        1.381258
2022-08-26       3.04              0.879578          1.619969            2.160422        1.420031
2022-08-29       3.12              0.905089          1.579387            2.214911        1.540613
2022-08-30       3.11              0.829284          1.591659            2.280716        1.518341
2022-08-31       3.15              0.757426          1.598460            2.392574        1.551540
2022-09-01       3.26              0.678391          1.601155            2.581609        1.658845
2022-09-02       3.20              0.822546          1.570963            2.377454        1.629037
2022-09-06       3.33              0.702594          1.565598            2.627406        1.764402
2022-09-07       3.27              0.788696          1.562520            2.481304        1.707480
2022-09-08       3.29              0.763307          1.600129            2.526693        1.689871
2022-09-09       3.33              0.754614          1.576753            2.575386        1.753247
2022-09-12       3.37              0.698898          1.625666            2.671102        1.744334
